Date,Open,High,Low,Close,Adj Close,Volume
2023-05-08,26.160000,26.730000,25.809999,26.709999,26.696648,56400
2023-05-09,26.100000,26.100000,25.639999,25.760000,25.747124,79300
2023-05-10,26.480000,26.580000,25.690001,26.290001,26.276859,68200
2023-05-11,26.330000,26.340000,25.450001,25.889999,25.877058,46700
2023-05-12,25.980000,26.260000,25.340000,25.790001,25.777109,42000
2023-05-15,25.910000,27.040001,25.730000,26.990000,26.976509,99100
2023-05-16,26.959999,27.780001,26.910000,27.110001,27.096449,76400
2023-05-17,27.600000,28.530001,27.250000,28.379999,28.365814,115000
2023-05-18,28.670000,30.559999,28.629999,30.420000,30.404795,571100
2023-05-19,30.280001,30.330000,29.670000,29.950001,29.935030,103900
2023-05-22,29.490000,30.240000,29.400000,30.030001,30.014990,288600
2023-05-23,29.610001,30.120001,29.299999,29.350000,29.335329,74800
2023-05-24,28.410000,28.680000,27.879999,28.580000,28.565714,100300
2023-05-25,34.130001,35.139999,32.740002,34.790001,34.772610,604400
2023-05-26,35.380001,38.799999,35.279999,38.430000,38.410789,466300
2023-05-30,40.669998,42.070000,39.090000,39.230000,39.210392,318900
2023-05-31,38.040001,39.130001,36.779999,36.779999,36.761616,154800
2023-06-01,37.419998,39.090000,36.830002,38.540001,38.520737,189500
2023-06-02,39.110001,39.500000,37.980000,38.349998,38.330830,154800
2023-06-05,37.880001,38.150002,36.889999,37.360001,37.341328,112400
2023-06-06,36.880001,38.020000,36.689999,37.650002,37.631184,161000
2023-06-07,38.000000,39.000000,36.689999,36.770000,36.751621,143100
2023-06-08,37.130001,38.160000,36.900002,37.959999,37.941025,65500
2023-06-09,38.669998,39.470001,37.939999,38.130001,38.110943,110500
2023-06-12,38.910000,40.540001,38.910000,40.459999,40.439774,134300
2023-06-13,41.889999,42.299999,40.669998,42.000000,41.979008,184900
2023-06-14,41.680000,44.160000,41.500000,44.110001,44.087952,183500
2023-06-15,43.220001,44.270000,42.700001,43.430000,43.408291,139700
2023-06-16,44.580002,44.599998,42.860001,42.860001,42.838577,132800
2023-06-20,42.849998,43.340000,41.959999,43.130001,43.108444,73200
2023-06-21,42.730000,42.750000,40.560001,41.029999,41.009491,208800
2023-06-22,40.279999,41.619999,40.279999,41.169998,41.149418,76800
2023-06-23,40.000000,40.400002,39.470001,39.689999,39.670158,122100
2023-06-26,40.200001,41.160000,38.750000,38.959999,38.940525,197100
2023-06-27,39.299999,41.580002,38.970001,41.500000,41.479256,196000
2023-06-28,39.910000,41.509998,39.750000,40.669998,40.649670,113200
2023-06-29,41.240002,41.240002,39.970001,40.520000,40.499748,141200
2023-06-30,41.560001,42.500000,41.349998,42.230000,42.208893,71200
2023-07-03,42.580002,43.119999,42.080002,42.630001,42.608692,49200
2023-07-05,42.189999,42.820000,41.439999,41.470001,41.449272,102000
2023-07-06,40.209999,40.689999,39.599998,40.610001,40.589703,138400
2023-07-07,40.790001,42.070000,40.650002,40.820000,40.799595,103600
2023-07-10,41.000000,41.840000,40.700001,41.840000,41.819088,66300
2023-07-11,42.160000,42.320000,40.959999,41.910000,41.889050,71700
2023-07-12,43.000000,43.900002,42.799999,43.810001,43.788105,124200
2023-07-13,44.799999,46.230000,44.540001,46.150002,46.126934,188000
2023-07-14,46.470001,48.009998,44.650002,45.080002,45.057468,351400
2023-07-17,45.660000,47.520000,44.810001,47.230000,47.206390,106600
2023-07-18,47.060001,48.320000,46.150002,47.840000,47.816086,156500
2023-07-19,48.080002,48.150002,46.740002,47.160000,47.136429,90300
2023-07-20,45.660000,46.090000,43.590000,44.060001,44.037979,127800
2023-07-21,44.820000,45.259998,43.869999,43.919998,43.898045,68300
2023-07-24,44.310001,44.549999,43.490002,44.119999,44.097946,44200
2023-07-25,44.540001,46.380001,44.540001,45.810001,45.787102,83000
2023-07-26,45.189999,45.270000,43.540001,44.599998,44.577705,91800
2023-07-27,46.610001,47.950001,45.439999,45.880001,45.857067,245700
2023-07-28,47.380001,47.959999,46.720001,47.660000,47.636177,124000
2023-07-31,48.180000,48.200001,47.459999,47.919998,47.896046,76800
2023-08-01,47.389999,48.220001,47.000000,48.040001,48.015987,70100
2023-08-02,46.790001,46.820000,43.169998,44.070000,44.047970,185100
2023-08-03,43.000000,44.549999,42.900002,43.919998,43.898045,148500
2023-08-04,44.080002,45.299999,43.160000,43.980000,43.958015,118100
2023-08-07,44.590000,45.049999,44.000000,45.049999,45.027481,57300
2023-08-08,43.810001,43.840000,42.500000,43.549999,43.528233,110000
2023-08-09,43.209999,43.209999,40.669998,41.000000,40.979507,407500
2023-08-10,41.099998,42.540001,40.000000,40.540001,40.519737,106100
2023-08-11,39.580002,39.580002,38.209999,38.520000,38.500748,148700
2023-08-14,38.110001,41.759998,37.830002,41.759998,41.739124,157700
2023-08-15,41.970001,42.520000,40.900002,40.939999,40.919537,93900
2023-08-16,41.200001,41.230000,39.570000,39.580002,39.560219,65700
2023-08-17,39.970001,40.130001,38.709999,38.980000,38.960514,89600
2023-08-18,37.939999,39.490002,37.450001,39.220001,39.200397,156500
2023-08-21,40.209999,43.070000,40.070000,43.000000,42.978508,151900
2023-08-22,44.320000,44.389999,41.349998,41.619999,41.599194,126900
2023-08-23,41.400002,43.860001,40.970001,43.700001,43.678158,154700
2023-08-24,46.290001,46.680000,41.680000,41.740002,41.719139,216800
2023-08-25,41.689999,42.849998,39.830002,41.290001,41.269363,173500
2023-08-28,42.160000,42.500000,40.700001,42.450001,42.428783,85300
2023-08-29,42.070000,45.430000,41.889999,45.139999,45.117435,136900
2023-08-30,45.099998,46.270000,44.400002,45.720001,45.697147,445300
2023-08-31,45.689999,46.790001,45.689999,46.410000,46.386803,103200
2023-09-01,46.790001,46.820000,45.099998,45.740002,45.717140,69100
2023-09-05,45.209999,46.279999,44.959999,45.770000,45.747124,64200
2023-09-06,45.540001,45.700001,43.459999,44.360001,44.337826,84400
2023-09-07,42.180000,42.669998,41.299999,42.549999,42.528732,107000
2023-09-08,42.270000,42.959999,41.549999,41.849998,41.829079,53600
2023-09-11,42.930000,42.959999,40.599998,41.740002,41.719139,86700
2023-09-12,41.259998,42.419998,41.020000,41.080002,41.059467,62800
2023-09-13,40.930000,42.490002,40.930000,41.759998,41.739124,75700
2023-09-14,42.599998,42.599998,41.700001,42.290001,42.268864,48100
2023-09-15,41.860001,41.860001,39.349998,39.639999,39.620186,94900
2023-09-18,38.549999,40.080002,38.360001,39.820000,39.800095,82800
2023-09-19,39.599998,39.650002,38.560001,39.119999,39.100445,87700
2023-09-20,39.360001,39.599998,37.439999,37.459999,37.441277,89700
2023-09-21,36.259998,36.869999,35.730000,35.759998,35.742123,128400
2023-09-22,36.500000,37.200001,36.259998,36.540001,36.521736,56300
2023-09-25,36.240002,37.299999,35.900002,37.189999,37.171410,62900
2023-09-26,36.509998,37.250000,35.939999,36.200001,36.181908,82800
2023-09-27,36.799999,37.290001,35.830002,36.910000,36.891552,64200
2023-09-28,36.740002,38.750000,36.480000,38.110001,38.090950,234400
2023-09-29,39.169998,39.529999,38.270000,38.509998,38.490749,47600
2023-10-02,38.730000,40.070000,38.669998,39.509998,39.490250,92500
2023-10-03,39.000000,39.750000,37.230000,37.740002,37.721138,81200
2023-10-04,38.139999,38.730000,37.480000,38.639999,38.620686,49400
2023-10-05,38.590000,39.130001,37.919998,38.849998,38.830578,122100
2023-10-06,38.169998,40.630001,37.750000,40.470001,40.449772,174000
2023-10-09,39.410000,40.459999,38.799999,40.180000,40.159916,77900
2023-10-10,40.330002,41.820000,40.000000,41.049999,41.029480,115100
2023-10-11,41.400002,42.110001,41.020000,42.040001,42.018986,83400
2023-10-12,42.070000,43.660000,41.669998,42.570000,42.548721,255000
2023-10-13,42.730000,42.750000,40.060001,40.189999,40.169910,98200
2023-10-16,40.029999,41.500000,40.029999,41.270000,41.249371,78200
2023-10-17,39.009998,40.270000,37.480000,39.529999,39.510239,147300
2023-10-18,37.990002,38.560001,37.240002,37.660000,37.641174,97300
2023-10-19,38.360001,38.400002,36.500000,36.689999,36.671658,60000
2023-10-20,36.450001,37.160000,35.389999,35.410000,35.392300,240600
2023-10-23,34.990002,37.020000,34.570000,36.150002,36.131931,445500
2023-10-24,36.480000,37.299999,36.099998,37.250000,37.231380,72600
2023-10-25,36.450001,36.490002,33.869999,34.180000,34.162914,168600
2023-10-26,34.180000,35.000000,32.509998,32.910000,32.893551,166800
2023-10-27,33.959999,34.259998,33.169998,33.610001,33.593201,75600
2023-10-30,33.740002,34.369999,32.820000,33.630001,33.613190,206600
2023-10-31,33.270000,33.910000,32.130001,33.820000,33.803097,103800
2023-11-01,33.889999,35.830002,33.889999,35.779999,35.762115,114800
2023-11-02,37.110001,38.020000,36.580002,37.529999,37.511238,201800
2023-11-03,38.209999,40.000000,38.049999,39.470001,39.450272,201100
2023-11-06,39.759998,40.279999,38.889999,39.900002,39.880058,138900
2023-11-07,39.880001,40.750000,39.529999,40.459999,40.439774,84300
2023-11-08,40.680000,41.160000,40.330002,41.029999,41.009491,116200
2023-11-09,41.810001,43.020000,40.889999,41.080002,41.059467,305000
2023-11-10,42.070000,44.150002,41.730000,44.060001,44.037979,298400
2023-11-13,43.639999,44.130001,43.080002,43.610001,43.588203,118600
2023-11-14,45.619999,46.470001,45.259998,46.200001,46.176907,184500
2023-11-15,46.779999,46.779999,45.279999,46.150002,46.126934,157800
2023-11-16,45.730000,46.669998,45.490002,46.580002,46.556721,115400
2023-11-17,46.270000,47.099998,45.980000,46.869999,46.846573,86900
2023-11-20,47.000000,48.820000,46.799999,48.599998,48.575706,168500
2023-11-21,47.669998,47.790001,46.450001,47.070000,47.046471,145700
2023-11-22,47.340000,48.270000,45.689999,46.369999,46.346821,196400
2023-11-24,46.220001,46.520000,45.730000,45.770000,45.747124,65300
2023-11-27,45.610001,46.650002,45.439999,45.799999,45.777107,96500
2023-11-28,45.290001,45.689999,44.580002,45.209999,45.187401,133600
2023-11-29,46.240002,47.099998,45.720001,45.770000,45.747124,100800
2023-11-30,45.889999,45.889999,43.750000,44.430000,44.407791,116500
2023-12-01,43.990002,45.020000,43.279999,44.680000,44.657669,120300
2023-12-04,43.560001,43.619999,42.139999,43.270000,43.248371,195300
2023-12-05,42.490002,43.540001,42.400002,43.470001,43.448273,157800
2023-12-06,44.599998,44.750000,42.189999,42.330002,42.308842,106200
2023-12-07,42.939999,44.599998,42.770000,44.490002,44.467762,85700
2023-12-08,44.470001,45.810001,44.450001,45.500000,45.477257,175500
2023-12-11,46.220001,48.000000,45.889999,47.599998,47.576206,203600
2023-12-12,46.970001,49.029999,46.910000,48.990002,48.965515,200500
2023-12-13,49.090000,50.849998,48.950001,50.330002,50.304844,229000
2023-12-14,51.070000,52.570000,50.990002,52.189999,52.163910,303600
2023-12-15,52.209999,54.049999,52.209999,53.169998,53.143421,174600
2023-12-18,53.439999,54.240002,52.790001,53.910000,53.883053,136500
2023-12-19,53.540001,54.020000,53.200001,54.020000,53.993000,133300
2023-12-20,53.509998,53.910000,50.820000,50.880001,50.880001,207000
2023-12-21,52.520000,53.290001,52.130001,53.130001,53.130001,149100
2023-12-22,53.740002,53.919998,52.540001,53.250000,53.250000,109500
2023-12-26,53.730000,55.220001,53.730000,54.830002,54.830002,188600
2023-12-27,55.360001,55.500000,54.630001,54.970001,54.970001,93900
2023-12-28,55.360001,55.509998,54.889999,54.980000,54.980000,109100
2023-12-29,55.139999,55.490002,53.650002,54.419998,54.419998,117700
